t:        0, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 2]:  0.0000000000
t:        0, treinos(rede):   0, erro:  0.2089000344, txap:  1.0000000000, delta:  0.0000000000, novoW[ 1][ 2]:  0.0000000000
t:        0, treinos(rede):  19, erro:  0.1536965370, txap:  1.0000000000, delta:  0.8667790890, novoW[ 3][ 2]:  1.8667790890
t:      100, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 2]:  0.0000000000
t:      100, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 1][ 2]:  0.0000000000
t:      100, treinos(rede):  20, erro:  0.0030014813, txap:  1.0000000000, delta:  0.9970074892, novoW[ 3][ 2]:  1.9970074892
t:      200, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 2]:  0.0000000000
t:      200, treinos(rede):   0, erro:  0.1918526888, txap:  1.0000000000, delta:  0.0000000000, novoW[ 1][ 2]:  0.0000000000
t:      200, treinos(rede):   3, erro:  0.0359865427, txap:  1.0000000000, delta:  0.1528622508, novoW[ 3][ 2]:  0.3112254739
t:      300, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 2]:  0.0000000000
t:      300, treinos(rede):   0, erro:  0.1804430485, txap:  1.0000000000, delta:  0.0000000000, novoW[ 1][ 2]:  0.0000000000
t:      300, treinos(rede):   1, erro:  0.0030013919, txap:  1.0000000000, delta:  0.0545156077, novoW[ 3][ 2]:  0.1091948375
t:      400, treinos(rede):   1, erro:  0.1400628984, txap:  1.0000000000, delta:  0.0587377325, novoW[ 1][ 0]:  0.1257024407
t:      400, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 2][ 0]:  0.0000000000
t:      400, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 3][ 0]:  0.0000000000
t:      500, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 3]:  0.0000000000
t:      500, treinos(rede):   0, erro:  0.1456931233, txap:  1.0000000000, delta:  0.0000000000, novoW[ 1][ 3]:  0.0000000000
t:      500, treinos(rede):  20, erro:  0.0000000000, txap:  1.0000000000, delta:  1.0000000000, novoW[ 2][ 3]:  2.0000000000
t:      600, treinos(rede):   0, erro:  0.1456931233, txap:  1.0000000000, delta:  0.0181676894, novoW[ 1][ 0]:  0.0389822870
t:      600, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 2][ 0]:  0.0000000000
t:      600, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 3][ 0]:  0.0000000000
t:      700, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 3]:  0.0000000000
t:      700, treinos(rede):   0, erro:  0.0240054429, txap:  1.0000000000, delta:  0.0000000000, novoW[ 1][ 3]:  0.0000000000
t:      700, treinos(rede):  20, erro:  0.0000000000, txap:  1.0000000000, delta:  1.0000000000, novoW[ 2][ 3]:  2.0000000000
t:      800, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 3]:  0.0000000000
t:      800, treinos(rede):   0, erro:  0.1310423017, txap:  1.0000000000, delta:  0.0000000000, novoW[ 1][ 3]:  0.0000000000
t:      800, treinos(rede):   2, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0827668458, novoW[ 2][ 3]:  0.1655336916
t:      900, treinos(rede):   0, erro:  0.1401223242, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 3]:  0.0000000000
