t:        0, treinos(rede):   4, erro:  0.1898863316, txap:  1.0000000000, delta:  0.1680832803, novoW[ 1][ 0]:  0.3680832982
t:        0, treinos(rede):   9, erro:  0.1518919766, txap:  1.0000000000, delta:  0.4340684712, novoW[ 2][ 0]:  0.9340684414
t:        0, treinos(rede):   0, erro:  0.1518919766, txap:  1.0000000000, delta:  0.0000000000, novoW[ 3][ 0]:  0.0000000000
t:      100, treinos(rede):   2, erro:  0.0090039372, txap:  1.0000000000, delta:  0.1120437682, novoW[ 0][ 2]:  0.2250963748
t:      100, treinos(rede):   2, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0899287611, novoW[ 1][ 2]:  0.1798575222
t:      100, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 3][ 2]:  0.0000000000
t:      200, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0050616930, novoW[ 0][ 2]:  0.0101233860
t:      200, treinos(rede):   0, erro:  0.0180051923, txap:  1.0000000000, delta:  0.0036523833, novoW[ 1][ 2]:  0.0073705288
t:      200, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 3][ 2]:  0.0000000000
t:      300, treinos(rede):   1, erro:  0.0090038478, txap:  1.0000000000, delta:  0.0339532234, novoW[ 0][ 1]:  0.0682121515
t:      300, treinos(rede):   1, erro:  0.0090038478, txap:  1.0000000000, delta:  0.0743760020, novoW[ 2][ 1]:  0.1494216770
t:      300, treinos(rede):   0, erro:  0.0090038478, txap:  1.0000000000, delta:  0.0000000000, novoW[ 3][ 1]:  0.0000000000
t:      400, treinos(rede):   0, erro:  0.0090038478, txap:  1.0000000000, delta:  0.0000008026, novoW[ 0][ 2]:  0.0000016125
t:      400, treinos(rede):   0, erro:  0.0060027838, txap:  1.0000000000, delta:  0.0000005314, novoW[ 1][ 2]:  0.0000010661
t:      400, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 3][ 2]:  0.0000000000
